ticker,date,ret,year,month,month_name
ADA-USD,2017-12-31,5.00331128626567,2017,12,December
ADA-USD,2018-01-31,-0.2784234647659303,2018,1,January
ADA-USD,2018-02-28,-0.39808979117743604,2018,2,February
ADA-USD,2018-03-31,-0.5011884946509875,2018,3,March
ADA-USD,2018-04-30,1.2018996044075685,2018,4,April
ADA-USD,2018-05-31,-0.34400755566049523,2018,5,May
ADA-USD,2018-06-30,-0.38871033308773084,2018,6,June
ADA-USD,2018-07-31,0.040865601090340986,2018,7,July
ADA-USD,2018-08-31,-0.2868238742602688,2018,8,August
ADA-USD,2018-09-30,-0.16635683335016216,2018,9,September
ADA-USD,2018-10-31,-0.18181813411640146,2018,10,October
ADA-USD,2018-11-30,-0.44170435246220807,2018,11,November
ADA-USD,2018-12-31,0.05517011833894703,2018,12,December
ADA-USD,2019-01-31,-0.06548474906250834,2019,1,January
ADA-USD,2019-02-28,0.12375567205407045,2019,2,February
ADA-USD,2019-03-31,0.6173736422252674,2019,3,March
ADA-USD,2019-04-30,0.008602575538261936,2019,4,April
ADA-USD,2019-05-31,0.27144406503927265,2019,5,May
ADA-USD,2019-06-30,-0.08209883104498217,2019,6,June
ADA-USD,2019-07-31,-0.26731465004060706,2019,7,July
ADA-USD,2019-08-31,-0.2520614754631376,2019,8,August
ADA-USD,2019-09-30,-0.1356967853783141,2019,9,September
ADA-USD,2019-10-31,0.07074707851888551,2019,10,October
ADA-USD,2019-11-30,-0.029085465239408248,2019,11,November
ADA-USD,2019-12-31,-0.18750766598875745,2019,12,December
ADA-USD,2020-01-31,0.6377833905708932,2020,1,January
ADA-USD,2020-02-29,-0.11622327171815305,2020,2,February
ADA-USD,2020-03-31,-0.3573336681897147,2020,3,March
ADA-USD,2020-04-30,0.5660000840089356,2020,4,April
ADA-USD,2020-05-31,0.553985759247648,2020,5,May
ADA-USD,2020-06-30,0.117871722596957,2020,6,June
ADA-USD,2020-07-31,0.6699311137746364,2020,7,July
ADA-USD,2020-08-31,-0.11606792407942135,2020,8,August
ADA-USD,2020-09-30,-0.1762682787081118,2020,9,September
ADA-USD,2020-10-31,-0.07921868798063625,2020,10,October
ADA-USD,2020-11-30,0.8409129395148747,2020,11,November
ADA-USD,2020-12-31,0.058893981838480824,2020,12,December
ADA-USD,2021-01-31,0.9013433199595806,2021,1,January
ADA-USD,2021-02-28,2.7925967453496354,2021,2,February
ADA-USD,2021-03-31,-0.08775978114598704,2021,3,March
ADA-USD,2021-04-30,0.13340304484874066,2021,4,April
ADA-USD,2021-05-31,0.2886089360533761,2021,5,May
ADA-USD,2021-06-30,-0.20616853635228227,2021,6,June
ADA-USD,2021-07-31,-0.04418372682243543,2021,7,July
ADA-USD,2021-08-31,1.0966351184037983,2021,8,August
ADA-USD,2021-09-30,-0.23734140721804675,2021,9,September
ADA-USD,2021-10-31,-0.07066884106652482,2021,10,October
ADA-USD,2021-11-30,-0.2087112263270321,2021,11,November
ADA-USD,2021-12-31,-0.15736929553726187,2021,12,December
ADA-USD,2022-01-31,-0.19684345950214865,2022,1,January
ADA-USD,2022-02-28,-0.0878786255047802,2022,2,February
ADA-USD,2022-03-31,0.18964119150665448,2022,3,March
ADA-USD,2022-04-30,-0.3373390934317756,2022,4,April
ADA-USD,2022-05-31,-0.17366586296839426,2022,5,May
ADA-USD,2022-06-30,-0.266139791331209,2022,6,June
ADA-USD,2022-07-31,0.1267758513701045,2022,7,July
ADA-USD,2022-08-31,-0.13607790775263895,2022,8,August
ADA-USD,2022-09-30,-0.027427691843718738,2022,9,September
ADA-USD,2022-10-31,-0.0646341735318764,2022,10,October
ADA-USD,2022-11-30,-0.21522337585869367,2022,11,November
ADA-USD,2022-12-31,-0.22709584859276755,2022,12,December
ADA-USD,2023-01-31,0.5861255099968543,2023,1,January
ADA-USD,2023-02-28,-0.09841247817767373,2023,2,February
ADA-USD,2023-03-31,0.1318441614578374,2023,3,March
ADA-USD,2023-04-30,-0.003933096935632818,2023,4,April
